id,questions,length
270,南京、扬州、东部机场因新冠疫情是否有相关人员被问责,25
271,近年有没有培训机构破产,11
272,近年教育系统内有没有出现性丑闻,15
273,NASA的月球计划有没有新进展,15
274,12-17岁青少年接种新冠疫苗情况推进的怎样了,23
275,截止8月12日，我国新冠疫苗接种的多少人次了,22
276,我国关于风洞实验的进展如何,13
277,2020年，美国人口普查的结果如何,17
278,浙江有没有出台有关网约车司机的运营资格的相关规定,24
279,我国有没有出台与三胎相关政策,14
280,张家界疫情情况进展如何,11
281,最近发布的新版防护指南中有没有针对棋牌室的相关规定,25
282,近年李宁有限公司的中期业绩报告如何,17
283,近年湖北宜城受强降雨影响怎样,14
284,近年柳林镇受强降雨影响怎样,13
285,近年阿迪达斯业绩怎样,10
286,扬州大规模核算检测进展如何,13
287,近年来，有没有出现体彩无人认领的情况,18
288,蔚来汽车发布的2021年二季度财报怎样,19
289,第十四届全运会能否照常开展,13
290,长三角区域轨道交通客运服务有没有统一标准,20
291,乐视公司现在状况如何,10
292,近年夏天欧洲天气如何,10
293,近年国际上关于新冠病毒研究有没有新进展,19
294,关于加强智能网联汽车生产企业及产品准入管理的意见何时发布,28
295,广州有没有新冠疫情,9
296,南京此轮疫情中有没有使用中药汤剂,16
297,辉瑞疫苗和莫德纳疫苗安全吗,13
298,奥运会后有没有关于女排运动员的新闻,17
299,亚朵酒店在阿里女员工被侵害案中扮演了什么角色,22
300,歌舞娱乐场所播放卡拉OK音乐有没有限制,19
301,为何要颁布2021年国旗及国徽（修订）条例草案,23
302,特斯拉7月份在华销量如何,12
303,德国疫苗接种安全吗,9
304,近年西湖大学招生情况如何,12
305,上海电动自行车能上中环吗,12
306,近期美国新冠疫情怎样,10
307,扬州疫情管控有没有漏洞,11
308,扬州第五轮核算检测结果怎么样,14
309,近年国产机械销量如何,10
310,近年有没有间谍在我国国内行动,14
311,香港政府打算如何培养香港青年的价值观,18
312,双减工作将如何推进,9
313,梅西转会的最新消息,9
314,弹劾美国纽约州州长安德鲁·科莫的进展怎样,20
315,美国跨党派基础设施投资法案进展如何,17
316,近来日本核废物排放情况如何,13
317,扬州是否要进行第六轮核算检测,14
318,香港教育专业人员协会是否会解散,15
319,近年暑假，淮安防疫措施如何,13
320,河北17岁男孩海边救人最新进展,15
321,NASA首批火星栖息地模拟生活体验最近进展,21
322,郑州近年报废机动车数量,11
323,加拿大籍被告人走私毒品案最新进展,16
324,第三剂科兴新冠疫苗安全吗,12
325,国产疫苗可以混打吗,9
326,法国选手奥运马拉松连续打翻水瓶事件后续发展,21
327,南京第六轮核算检测结果,11
328,南京江宁区是否要开展第7轮核算检测,17
329,孟晚舟引渡案最新进展,10
330,恒大汽车近年盈利预警公告,12
331,北移亚洲象群最新进展,10
332,以色列关于辉瑞疫苗的研究,12
333,周润发获颁荣誉博士详情,11
334,近年国内关于违规办学受罚情况如何,16
335,近年意大利高温天气通报,11
336,演员于月仙交通事故最新通报,13
337,全红婵家境,5
338,近年武隆泥石流情况通报,11
339,截止2021年8月10日中高风险地区通报,20
340,近年7月份CPI和PPI数据通报,16
341,江苏各地增派支援扬州疫情情况,14
342,截止2021年8月10日扬州疫情通报数据,20
343,美国拉姆达毒株感染情况,11
344,两家游客在北京野生动物园发生纠纷的详情,19
345,8月8日扬州疫情通报数据,12
346,主播在全红婵家门口直播事件的最新进展,18
347,东京奥运会中国队获奖情况,12
348,东京奥运会闭幕式情况,10
349,阿里方面对于阿里女员工被侵害的回应,17
350,英国对于未接种疫苗者感染德尔塔几率的研究情况,22
351,杭甬高速杭州方向桥体摇晃情况最新进展,18
352,黑龙江哈尔滨市办公楼顶层坍塌事件最新进展,20
353,苹果新照片甄别系统设计侵犯隐私事件,17
354,东京奥运会有没有运动员违反防疫规定,17
355,台风卢碧致福建超强降水最新情况,15
356,奥运会同款口罩有没有通过网络销售,16
357,截至2021年7月末，我国外汇储备规模是多少,22
358,林书豪有没有感染新冠病毒,12
359,微信视频号的青少年模式有什么功能,16
360,河南郑州最新防疫工作情况,12
361,七部门联合调查“深房理”最新情况通报,18
362,扬州第三轮全员核酸检测情况,13
363,安徽含山县被掐脖补课班教师调查最新进展,19
364,重庆大学女教师坠楼事件最新调查进展,17
365,港大为什么禁止参与“悼念刺警案凶徒议案”学生进入校园,26
366,印度代表团在2020东京奥运会上的第一枚金牌是什么项目的,28
367,8月6日全国新冠病毒感染者最新通报情况,19
368,伊朗信任总统叫什么名字,11
369,安徽马鞍山执法人员踹门抓补课事件最新进展,20
370,中国科学家关于陨石撞击坑的研究,15
371,气候学家关于世界第一大海洋暖流的监测情况,20
372,美国运动员拜尔斯退赛后续的最新相关信息,19
373,2020年美国高管薪酬排行榜,14
374,截止8月6日，我国中高风险地区通报情况,19
375,华为发布2021年上半年经营业绩情况,18
376,阿迪达斯在中国2021年第二季度销售情况,20
377,“女医生遭网暴自杀”案件的最新相关信息,19
378,全季酒店内男子凌晨赤身闯入女客房间事件的最新情况,24
379,微信因青少年模式涉民事公益诉讼的最新进展,20
380,辽宁阜新对于新冠病毒可疑病例的处理要求,19
381,梅西是否会继续效力原俱乐部,13
382,亚马逊公司为什么推迟办公室开放日,16
383,浙江衢州市委原副书记江汛波被捕事件的最新进展,22
384,科莫事件的最新进展,9
385,国务院联防联控机制对于重点口岸城市的疫情排查工作细则,26
386,过量喝咖啡有什么危害,10
387,近年暑假，旅游景区，棋牌室等受疫情影响的情况,22
388,上海建设生态之城的目标,11
389,8月5日，江苏省交通运输厅的最新关闭道路通知,22
390,缺乏身体活动有什么危害,11
391,公安部对于美参议院通过“维吾尔强迫劳动预防法案”的回应,27
392,近年秋季学期能正常开学吗,12
393,南京疫情有没有人被问责,11
394,国内AI研究现状,8
395,霍尼韦尔公司针对新冠病毒的研究项目有没有最新进展,24
396,现有疫苗对于德尔塔毒株有效吗,14
397,郑州疫情和南京疫情有关联吗,13
398,本轮新冠疫情什么时候能控制住,14
399,南通什么时候暂停校外机构线下培训,16
400,北京的三孩生育政策,9
401,洪水对人类的危害,8
402,8月4日全国新冠疫情通报,12
403,未成年人能玩王者荣耀吗,11
404,丘成桐“数学领军计划”招生报名计划问答,19
405,最新百强县榜单,7
406,8月3日，全国累计报告接种新冠病毒疫苗剂次,21
407,2020年亚洲地表平均气温比往年高吗,18
408,哪吒汽车市场负责人不正当言论的后续事件最新通报,23
409,南京第四轮核算检测最新情况,13
410,南京有没有实施封闭管理,11
411,南京会实施第五轮核酸检测吗,13
412,辽宁省政协原副主席李文喜会被逮捕吗,17
413,纽约市的最新防疫政策,10
414,科莫有没有性骚扰女性,10
415,二手房价会上涨吗,8
416,近期，郑州有没有封闭小区,12
417,近期，江苏省麻将馆还能正常营业吗,16
418,谷歌Tensor芯片会用在什么手机上,18
419,12周岁以下小学生还能玩网游吗,15
420,火车退票免手续费吗,9
421,飞机票退票免手续费吗,10
422,双曲线一号第3发民营商业运载火箭有没有发射成功,23
423,对于汽车芯片市场哄抬炒作有什么应对措施吗,20
424,湖南衡阳女子5年5次诉离婚案终审决定是什么,21
425,目前舆论关注的林生斌相关情况对外通报的最新进展,23
426,地下钱庄会被打压吗,9
427,因擅离南京到扬州，频繁活动于棋牌室的毛某宁会被处立案调查吗,29
428,教育部的优师计划是什么,11
429,德国政府什么时候向老人注射新冠疫苗,17
430,扬州高校会实行校园封闭管理吗,14
431,南京本轮疫情的根本原因是什么,14
432,无锡会开展核酸检测吗,10
433,俄罗斯有自有空间站吗,10
434,IMF理事会为什么批准6500亿美元的新一轮特别提款权,27
435,加州大学河滨分校开发的气动随机存取存储器的相关信息,25
436,比尔·盖茨离婚了吗,9
437,河南郑州“7·20”特大暴雨灾害调查组的调查结果是什么,27
438,澳大利亚天空新闻为什么会被YouTube停播一周,24
439,上海杜莎夫人蜡像馆有吴亦凡的蜡像吗,17
440,北京市昌平区公安分局为什么传唤张某,17
441,2021年上半年GDP前十城市有哪些,18
442,中印第12轮军长级会谈进展如何,15
443,苏炳添百米决赛成绩如何,11
444,D3078次动车有新冠感染者吗,15
445,8月1日，江苏有没有高速公路出入口被关闭,20
446,2021年中科院院士增选初步候选人共有多少人,22
447,潘建伟团队的毫米级非视域三维成像有什么用,20
448,7月30日全美新增新冠确诊病例数,16
449,希腊举重运动员西奥多罗斯·亚科维迪斯东京奥运会后续事件,27
450,吴亦凡粉丝扬言“劫法场”后续事件,16
451,8月1日时，全国新增本土病例数,15
452,佛州官方曾删除早期新冠患者数据的最新进展,20
453,近期，张家界有没有实行交通管制,15
454,缅甸国家紧急状态什么时候结束,14
455,湖南常德市桃花源景区有疫情风险吗,16
456,南京三轮核酸共发现多少例确诊病例,16
457,东京奥运女子百米决赛情况,12
458,网红直播称靠关系进华科大事件最新进展,18
459,近年中国经济形势怎么样,11
460,我国第二季度有没有发生违法填海事件,17
461,7月我国本土确诊病例数有多少,14
462,央行定调下半年8大重点任务是什么,16
463,张家界首发病例与南京禄口机场疫情有相关性吗,21
464,我国会不会实行分时电价新机制,14
465,吴某凡（男，30岁，加拿大籍）会不会因涉嫌强奸罪刑事拘留,28
466,最近，淮安的麻将馆正常营业吗,14
467,南京近期会不会对机场进行全面消杀,16
468,7月31日，江苏新增本土确诊病例多少例,19
469,7月30日，长沙有没有新增阳性病例,17
470,7月30日，银川有没有新增阳性病例,17
471,7月30日，郑州有没有新增阳性病例,17
472,7月30日，张家界有没有新增阳性病例 ,19
473,俄罗斯实验舱与国际空间站对接成功了吗,18
474,近期，巴西天气怎么样,10
475,7月30日，沈阳新增的确诊病例行程轨迹怎样,21
476,理想水银事件最新进展,10
477,首例违反香港国安法案件宣判结果,15
478,美国会不会从阿富汗撤军,11
479,最近，以色列新冠疫情形势如何,14
480,近期，日本单日新增确诊有没有破万,16
481,第十九届ChinaJoy有没有成功举办,19
482,7月30日，无锡有没有新增阳性病例,17
483,7月30日，湖南株洲有没有新增阳性病例,19
484,湖南阳性感染者病例与常德游船有关联吗,18
485,教育部会不会对教师有偿补课问题进行专项整治,21
486,近期，扬州机场有没有关闭,12
487,南京第三轮全员核算检测结果如何,15
488,财政部向河南预拨多少救灾资金,14
489,扬州有没有停运镇村公交线路,13
490,近期，越南新冠疫情形势如何,13
491,7月28日，新疆生产建设兵团累计接种新冠病毒疫苗多少剂次,28
492,7月底，禄口机场飞往张家界旅游有没有被瞒报,21
493,国内疫苗对德尔塔等变异株有没有保护效力,19
494,近期我国房价有没有增长过快,13
495,湖南常德新增的无症状感染者是不是老师,18
496,美国辉瑞新冠疫苗有效吗,11
497,华为旗舰手机P50系列起售价多少,16
498,美国零佣金券商平台Robinhood Markets什么时候上市,32
499,我国对于美国务卿会见达赖喇嘛代表是什么态度,21
500,网民对于调查德堡实验室是什么态度,16
501,北京确诊病例所在街道和单位人员能出京吗,19
502,资源过度开采有什么危害,11
503,7月28日，北京新增的确诊病例与湖南有关吗,21
504,武警部队徽什么时候启用,11
505,厦门到上海的G1660次高铁“霸座”事件最新进展,24
506,近期，南京民营医疗机构正常营业吗,16
507,近期，南京禄口街道是高风险地区吗,16
508,8月初，黄海北部是否要进行实弹射击,17
509,近期，张家界市景区景点正常营业吗,16
510,苹果公司2021财年第三财季业绩如何,18
511,近期，南京药店有退热药品零售吗,15
512,南京职工因黄码居家隔离能按年休假处理吗,19
513,QQ阅读有没有按照整改开屏弹窗,15
514,陈薇团队领衔研制的吸入用新冠疫苗临床试验结果如何,24
515,南京驾考正常举行吗,9
516,郑州公交免费吗,7
517,特斯拉在中国第二季度市场营收情况如何,18
518,华为智能驾驶产品部部长针对特斯拉发表不当言论的后续,25
519,英特尔计划什么时候进入埃米时代,15
520,台风“烟花”的最新进展,11
521,超标超前培训会被问责吗,11
522,拜耳公司的危险废物焚烧工厂爆炸事件的最新进展,22
523,南京“火眼”实验室日检测量是多少,16
524,周礼栋是什么职务,8
525,美国佛罗里达州公寓大楼倒塌事故的最新进展,20
526,缅甸2021财年经济情况如何,14
527,东京奥运会男子花剑个人冠军是谁,15
528,近期，南京外卖能送进小区吗,13
529,越南国家主席是谁,8
530,上海近期的自来水有问题吗,12
531,上海地铁5号线有漏水危险吗,13
532,重庆市锦江华府小区幼儿坠楼事件最新进展,19
533,奥运会获奖者可以不戴口罩吗,13
534,珠机城轨金海大桥施工段箱梁垮塌事故最新进展,21
535,国际数学奥林匹克竞赛2021竞赛成绩,18
536,“双减”文件落地了吗,10
537,海地遇刺总统莫伊兹的葬礼在哪里举行,17
538,东京奥运会女子10米气步枪比赛冠军是谁,19
539,东京奥运会开幕式什么时候举行,14
540,上海首套房房贷利率是多少,12
541,十堰燃爆事故最新进展,10
542,郑州地铁5号线事故原因,11
543,2032年夏季奥运会举办地在哪里,16
544,郑州希岸酒店借暴雨涨价事件最新进展,17
545,近年我国汽车销量如何,10
546,东京奥运会开幕式、闭幕式节目总监小林贤太郎为什么被解雇,27
547,东京奥运会有工作人员确诊新冠吗,15
548,“烟花”什么时候登陆浙江,12
549,2021年上半年人口出生监测说明什么问题,20
550,河南暴雨有没有导致铁路线路无法通行,17
551,美国常务副国务卿舍曼何时访华,14
552,中国女足在奥运会小组赛首场比赛结果怎么样,20
553,郑州郭家嘴水库有溃坝风险吗,13
554,美国“新谢泼德”号火箭发射成功了吗,17
555,地产首富有谁,6
556,波音737MAX客机发生过那些问题,17
557,中国的疫苗安全吗,8
558,基层减负有哪些进展,9
559,华为如何被美国打压,9
560,华为的5G发展如何,9
561,近年皇家马德里有那些动作,12
562,个税改革有那些进展,9
563,近年动物园动物失控事件有那些,14
564,日本最近那位天皇退位了,11
565,日本当前的天皇是谁,9
566,微软公司近年来有那些官司,12
567,拼多多近年来的增长如何,11
568,潘建伟在量子领域作出了那些贡献,15
569,在香港非法港独组织近年参与了那些活动,18
570,美国有那些大的枪手袭击事件,13
571,除了美国外，还有那些国家发生枪手袭击事件,20
572,特斯拉电动车近年的价格变化情况如何,17
573,近年有那些违纪、违法的官员被抓,15
574,近年我们有那些黑社会组织在打黑运动中被消灭,21
575,如何看待基因编辑技术,10
576,基因编辑技术近年的发展情况如何,15
577,国内电子烟的情况如何,10
578,近年国内发生了那些重大的考试泄题、作弊事件,21
579,近年国内的计划生育政策有那些变化,16
580,近年微信有那些重大的升级,12
581,基于5G的实际应用有那些,12
582,中国近年是如何治理新疆的,12
583,西方国家是如何在新疆问题上干扰中国的,18
584,国内中小学集中用餐、陪餐情况如何,16
585,COVID-19可能是实验室泄露出来的吗,20
586,近来中国国内财政政策有什么变化,15
587,近年的欧元区的GDP变化如何,14
588,近年比特币的价格变化如何,12
589,中国近年来的科研产出如何,12
590,想知道中国电网的近年业绩变化情况,16
591,瑞幸咖啡最近有那些事件发生,13
592,微博近年采取了那些优化和监管措施,16
593,巴菲特近来的动向有哪些,11
594,近年来的中国国内猪肉价格变化,14
595,深圳的房价近年如何波动,11
596,全球在救治艾滋病毒方面，有那些进展,17
597,国内近年有那些极端的气候情况,14
598,全球近年有那些极端的气候情况,14
599,近来全球碳排放有哪些情况,12
600,全球碳排放和气候变化有关系吗,14
601,中国国产芯片业有哪些进展,12
602,孙杨事件有那些进展,9
603,SOHO中国和黑石集团的交易有那些情况,19
604,中国国内半导体产业有那些进展,14
605,新冠疫情中欧盟有那些经济救助计划,16
606,新冠疫情中美国有哪些经济救助计划,16
607,基因编辑相关技术有那些进展,13
608,特斯拉CEO马斯克对房产有那些看法,17
609,近年在火星上人类有那些发现,13
610,近年人来在火星上有哪些活动,13
611,全过各地的新基建有那些公开信息,15
612,全国高校有那些强基计划的相关举措,16
613,近年人类对黑洞有那些新发现,13
614,国内近年对摩天大楼的建造有那些限制,17
615,全球在脑机接口上有那些进展,13
616,苏州近年来的经济发展如何,12
617,国内CPI近来的变化如何,12
618,国内高校毕业生近年有那些情况,14
619,近年国内成品油价的变化情况如何,15
620,因特尔公司近年有哪些投资活动,14
621,中国近年GDP增长情况如何,13
622,近年国内考古有哪些进展,11
623,中国证监会近年推出那些新措施,14
624,宁德时代近年有那些发展,11
625,什么是两头婚,6
626,近年国内有人被狗咬身亡的事件吗,15
